suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
KANGAROO POINT|2174000|1075000|0.49|234000|0|4.7|10|10|0|106|0|75|24|9750|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KANGAROOPOINT-QLD-3878160|"Kangaroo Point Management Right
              "|This is one of the iconic buildings in Dock Side|" 
                       "|Yes| 3 months ago.|3878160|2018-08-22
Spring Hill|1928000|500000|0.26|280100|103788|5.1|25|18|0|54|1922|14|26|6781.23|0|28|0|0|0|0| | Joy Realty|Robert Lin|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3865723|"Corporate Management Rights â Business Only
              "|NO MANAGER UNIT TO PURCHASE|" 
                       "|No| 1 week ago.|3865723|2018-08-22
Greater Brisbane Region|455000|0|0|102500|30700|4.4|25|23|5|35|877.14|0|33|2175.76|0|2|0|0|0|0| None on Agreements| Mr Brady (Management Rights)|Don Brady|" Low Maintenance, No Pool, No Facilities, Easily Rented, No Managers Unit to Buy,
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Kallangur-QLD-3882268|"UNDER OFFER
              "|UNDER OFFER|" NO UNIT TO PURCHASE
                       "|Yes| 1 week ago.|3882268|2018-08-22
Spring Hill|945000|490000|0.52|108884|52890|4.4|25|20|18|31|1706.13|3|22|2545.18|0|4|2|2|2|1| 0| Raine & Horne Onsite Rights|Mark Fluhart|" This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3859839|"LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "|This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.|" The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "|No| 2 weeks ago.|3859839|2018-08-22
Spring Hill|2234800|550000|0.25|312149|69637|5|25|24|0||0|0|25|0|0|0|2|2|1|1| M-F: 8:30am-5pm Sat: 8:30-12pm| Next International Realty Pty Ltd|David Janett - David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3865021|"Location Location Location!
              "|Four Star Luxury Serviced Apartments and Holiday Accommodation in the heart of Brisbane|" 
                       "|No| 6 months ago.|3865021|2018-08-22
Kangaroo Point|1750000|820000|0.47|192609|123354|4.8|0|0|0||0|0||0|0|0|2|2|3|1| | Management Rights Sales|Greg Jorgensen|" Indoor Heated Pool, Sauna, Security Parking
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KangarooPoint-QLD-3874841|"SUPERVISORY ROLE ONLY! EASY TO RUN BUSINESS & BY ONE PERSON
              "|SUPERVISORY ROLE ONLY!|" 
                       "|Yes| 2 days ago.|3874841|2018-08-22
Kangaroo Point|1595000|0|0|301000|103245|5.3|25|23|2|101|1022.23|6|81|2441.42|0|10|0|0|0|0| None||Adrian|" NEAR NEW COMPLEXES FOR SALE. ALL DEFECT - FREE, ALL FULLY TENANTED AND ALL POSITIONED WITHIN EASILY ACCESSIBLE INNER CITY LOCATIONS!
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KangarooPoint-QLD-3863993|"Blue Chip Complexes!
              "||" 
                       "|No| 1 week ago.|3863993|2018-08-22
Spring Hill|760000|485000|0.64|70000|42539|3.9|25|18|18|19|2238.89|1|10|2746.1|0|6|2|2|1|1| | Raine & Horne Onsite Rights|Nick Chen|" This is an easy business located in the heart of Spring Hill.  Featuring a great size office and car park on title, the property also has underground parking and a lift built in the building.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3873367|"PERFECT HOME WITH EASY BUSINESS
              "|Price Reduction - Dropped to $760,000 - Great Deal - Get in NOW !!|" Open plan in design and delightfully spacious, the living and main bedroom areas are framed by sliders that lead out to the generous balcony. May be the largest balcony you will ever see.
                       "|No| 2 months ago.|3873367|2018-08-22
Brisbane City|1235000|499000|0.4|138799|66824|5.3|25|20|0||0|0||0|0|0|2|1|1|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3867021|"Quality Building and Easy Permanent Management Rights in Brisbane
              "|- Perfectly Located in Brisbane City|" 
                       "|No| 2 months ago.|3867021|2018-08-22
KANGAROO POINT|1386000|864000|0.62|116000|89872|4.5|25|18|0|43|2090.05|31|11|2375.27|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KANGAROOPOINT-QLD-3876921|"Kangaroo Point Management Rights Complex
              "|"This truly is a ""lifestyle"". A beautiful complex situated alongside a park and close to the river. The ferry is only a few meters stroll. Modern spacious man. Unit is air conditioned and has ample room for outdoor entertaining. It has three  storage rooms specifically for the manager For more information,please contact Agent Robert Collins Exclusive Agent on  or "|" 
                       "|Yes| 4 months ago.|3876921|2018-08-22
Brisbane|1687196|0|0|290896|1200|5.8|25|24|0|93|12.9|18|64|4526.5|0|6|0|0|0|0| no set office hours| Resort Brokers|Nathan Eades|" Rooftop pavilion with swimming pool, seating areas and covered sections with BBQ facilities
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Brisbane-QLD-3879229|"Business-Only Management Rights Netting $286K | Resort Brokers ID : MRB005201
              "|Near-new building with no requirement to reside on-site!  A genuine business-only management rights sale in a thriving inner-city village-style precinct.  Stunning rooftop activation with city skyline views, pool and residents communal area. Well-established business operation, fully tenanted and long-term agreement remaining giving the new managers superb income security.|" 9 level building
                       "|yes| 2 months ago.|3879229|2018-08-22
Brisbane City|1495000|420000|0.28|200800|76703|5.4|25|18|21|57|1345.67|6|43|2885.98|0|8|2|1|1|1| No set office hours| Shine Realty|Celine Tseng|" gym, spa, sauna
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3884222|"WELL CONNECTED AND EASY TO MAINTAIN!
              "|This unique complex is conveniently located in the heart of Brisbane. Surrounded by abundant shopping centres, easily accessible public transportation and parks, it makes for the perfect combination of business and city-living. Within a short walking distance to the Brisbane CBD. A matter of minutes to the Queen Street Mall, and the abundant entertainment and night-life options the central business district has to offer. This complex maintains consistently high tenancy and rental demand figures. Almost no gardening work whatsoever- the care-taking job is easy enough for one person to maintain. This is a great opportunity for the first time business operator, or for the experienced manager seeking an additional low-maintenance investment. It won't stay on the market for long- call Celine today on for further information or to book your inspection. |" 
                       "|No| 2 days ago.|3884222|2018-08-22
BRISBANE|0|0||0|0|0|0|0|0|320|0|0||0|0|0|2|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BRISBANE-QLD-3877008|"12% Management Partnership share for sale Husband and wife
              "|Management Couple|" 
                       "|No| 4 months ago.|3877008|2018-08-22
Newstead|2820000|0|0|470000|187903|6|25|22|3|147|1278.25|9|119|2370.56|0|19|0|0|0|0| 0||Paul Kiehne|" Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3882576|"Business Only - Established and Low Maintenance
              "|RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.|" 
                       "|Yes| 1 month ago.|3882576|2018-08-22
Brisbane City|1398000|380000|0.27|207870|55865|4.9|25|15|0||0|0||0|0|0|3|1|1|1| As per agreements| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3883248|"Sunny Life and Great Business in Bayside of Brisbane
              "|- Possible Best Value Management Rights in leafy Bayside of Brisbane|" 
                       "|No| 2 weeks ago.|3883248|2018-08-22
Ormiston|1125000|365000|0.32|157613|119915|4.8|10|10|0|58|2067.5|0|24|1570.75|0|0|3|2|1|1| Approximately 4.5 hours a week| RCA Business Brokers|Rod Askew|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Ormiston-QLD-3884145|"LIGHT DUTIES PERMANENT RENTALS NETTING OVER $150,000
              "|Over $150,000 nett income|" Management Rights \\\\\\$ - Only \\\\\\$750,000Managers Unit \\\\\\$  - \\\\\\$365,000Aircon, Courtyard, Single Lock Up Garage
                       "|No| 1 day ago.|3884145|2018-08-22
Bulimba|1985000|785000|0.4|231000|118131|5.2|25|20|0|95|1243.48|44|52|2170.56|0|11|3|2|2|1| | Resort Brokers|Brent Staker|" Two pools, two BBQs
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3878757|"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "|Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.|" Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "|yes| 1 week ago.|3878757|2018-08-22
Redcliffe|307500|0|0|66000|27196|4.7|25|20|5|28|971.29|0|28|1385.86|0|0|0|0|0|0| None set| Management Rights Agents|David Manson|" Equipment Shed
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Redcliffe-QLD-3884160|"Redcliffe Management Rights Reduced to sell No Managers Accommodationl
              "|Redcliffe Management Rights Reduced to sell|" None
                       "|No| 2 days ago.|3884160|2018-08-22
Auchenflower|1171400|750000|0.64|108051|71048|3.9|25|8|0|41|1732.88|26|16|2312.69|0|2|2|2|0|0| NIL| Resort Brokers|Nathan Eades|" Pool, BBQ, tennis court
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Auchenflower-QLD-3879650|"Luxury Living with a 3.9x multiplier! | Resort Brokers ID : MR005304
              "|Featuring 41 units with 13 in the letting pool with strong upside still possible. This complex offers a lavish and spacious office that would rival any onsite office in the country. An arsenal of caretaking equipment supplied by the body corporate gives any operator a walk up start in this riverfront complex.|" This luxurious managers unit is a ground floor two
bedroom and two bathroom unit with an open
plan executive kitchen. The entire unit flows from
bedrooms to the kitchen and features river & city
views. Ample car parking and storage exists
onsite for the manager.
                       "|no| 2 months ago.|3879650|2018-08-22
Woody Point|355000|0|0|82703|81000|4.3|25|8|0|81|0|79||0|0|2|0|0|0|0| 0| Resort Brokers|Brent Staker|" Pool&BBQ
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WoodyPoint-QLD-3883150|"Solid Caretaking Business in Woody Point | Resort Brokers ID : MRC005388
              "|Resort Brokers Australia is excited to offer to the market a caretaking business. Waters Edge is an easy to run caretaking only business. This is an apartment style complex located in the suburb of Woody Point located on the Redcliffe Peninsula. Redcliffe is arguably one of Brisbanes hot spot locations for a weekend visit and unwind. The growth in this area has increased significantly in the past ten years attracting new local business co-existing with current well-established businesses.|" 
                       "|no| 3 weeks ago.|3883150|2018-08-22
Upper Mount Gravatt|551700|459000|0.83|37080|27000|2.5|25|13|0|20|1350|12|6|1680|0|2|3|3|1|0| none| Resort Brokers|Jessica  Wilkie|" Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/UpperMountGravatt-QLD-3881664|"Beginner Opportunity in Upper Mount Gravatt with 3 Bedroom Townhouse | Resort Brokers ID : MR005346
              "|This opportunity is a great starter business for industry beginners or a perfect add on opportunity for a local operator. You will have a combination of lifestyle and flexibility here with no set hours and walking distance to all the wonderful facilitates that Mount Gravatt and Garden City have to offer!|" 198sqm, 3 bedrooms, 2.5 bathrooms, master with 2 separate walk-in wardrobes and sitting room, master with own balcony, garage, modern kitchen, private outdoor courtyard,
                       "|yes| 1 month ago.|3881664|2018-08-22
South Brisbane|2625000|495000|0.19|416302|91172|5.1|25|15|0|75|1215.63|14|40|8128.25|0|7|3|2|0|1| Mon-Thu 9am - 4pm Fri&Sat 9am - 12pm| Resort Brokers|Alex Cook|" Smart key access to the apartment block and to each
floor, rooftop swimming pool, rooftop gym and
rooftop BBQ area. Large indoor recreational area
with pool area, table tennis, TVâs and sofas, laundry
with sufficient coin operated commercial grade
washing machines and dryers.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3881587|"Student/Permanent MR in Southbank, Brisbane - $416k Nett | Resort Brokers ID : MR005349
              "|Opportunity to purchase the management rights to a rare student focussed management rights business, located in an ideal location in Southbank close to education&cultural centres and CityCat/transport hubs.|" 3 bedroom,2 bathroom with lounge, kitchen area
and small balcony.
                       "|no| 1 month ago.|3881587|2018-08-22
Griffin|1505000|465000|0.31|200000|89315|5.2|25|23|2|71|1257.96|0|68|1627.72|0|0|3|2|2|1| Nil| Liz Lavender Management Rights|LIZ LAVENDER|" Easy care grounds
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Griffin-QLD-3883154|"LARGE PERMANENT - AS NEW!!!
              "|Impressive 2 year old permanent, first time offered for sale.  Large freestanding home and excellent business opportunity.  Northern suburbs of Brisbane near train, shops and M1.   CALL TODAY FOR DETAILS.|" Freestanding villa with private yard  undercover entertaining area. Double lock up garage.  Large open plan lounge and  dining room, gourmet kitchen and spacious bedrooms.
                       "|No| 1 day ago.|3883154|2018-08-22
West End|2584828|0|0|445660|170258|5.8|25|25|0|142|1199|23|109|2526.62|0|10|0|0|0|0| | Resort Brokers|Jessica  Wilkie|" Rooftop Infinity Pool, Rooftop BBQ area
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3884373|"Near New, Mid-Size Business Only Management Rights | Resort Brokers ID : MRB005378
              "|Boasting a popular, city-fringe location this contemporary building is under 12 months old and presents in mint condition for incoming managers. With a handy on-site office to operate from and easy to manage workload, this is an exciting proposition for an experienced manager to add-on or for a newcomer to establish themselves in this lucrative industry.|" No unit
                       "|yes| 1 day ago.|3884373|2018-08-22
Mango Hill|955000|405000|0.42|121219|56976|4.5|25|23|0|50|1139.52|2|45|1427.62|0|3|3|2|1|1| None| Resort Brokers|Brent Staker|" pool and BBQ
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/MangoHill-QLD-3882940|"Neat and Secure Mango Hill Business Netting Over 120K Approx. | Resort Brokers ID : MR005382
              "|Resort Brokers Australia is excited to offer to the market Kinsella Place. This management rights townhouse-style complex is located in the suburb of Mango Hill. Mango Hill is arguably one of Brisbanes most up and coming locations. The growth in this area has increased significantly in the past ten years attracting new local business co-existing with current well-established businesses.|" Three large spacious bedrooms and two bathrooms. Single lock up garage and one visitor spot. 
Multi-level with a spacious lounge and dining area.
                       "|yes| 3 weeks ago.|3882940|2018-08-22
Lutwyche|510016|0|0|98080|50915|5.2|25|24|0|49|1039.08|0|31|1521.45|0|0|0|0|0|0| no set hours| Resort Brokers|Jessica  Wilkie|" BBQ
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Lutwyche-QLD-3884008|"19% ROI Business Only Managements Rights - 10 Mins From CBD | Resort Brokers ID : MRB005414
              "|Business Only Management Rights - There is no need to buy real-estate or live onsite and there are no set office hours. 23&24 year brand new agreements!|" 
                       "|yes| 1 week ago.|3884008|2018-08-22
Runcorn|1024000|369000|0.36|124000|71000|5.3|25|18|14|52|1365.38|22|27|1962.96|0|3|3|3|2|1| None| Property Bridge|Bobo Qi|" Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3884399|"NO NEED TO LIVE ON SITE
              "|Close proximity to excellent shopping centres. |" Situated on a large block, 3 Bedroom, 3 Bathroom, 2 Car
                       "|Yes| 15 hours ago.|3884399|2018-08-22
Bowen Hills|1452443|0|0|382230|0|3.8|25|25|0||0|0||0|0|0|0|0|0|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BowenHills-QLD-3845448|"Designer Apartments in Elevated Inner City Location - Business Only OTP MLR | Resort Brokers ID : OTP004472
              "|Omega Apartments consists of 130 spacious one and two bedroom apartments located within the $2.9 billion RNA urban renewal precinct. All of the apartments include spacious balconies, a secure car park and the two bedroom apartments comprise two bathrooms. Omega Apartments has four podium car park levels and 13 residential levels commencing on level five.|" 
                       "|no| 1 year ago.|3845448|2018-08-22
Bulimba|1136817|469000|0.41|190805|128000|3.5|25|25|0|79|1620.25|0|26|2415.58|0|0|1|1|0|0| | Resort Brokers|Brent Staker|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3859644|"Great Value in Riverside Suburb with a 3.5 Multiplier | Resort Brokers ID : OTP004834
              "|Eastpark Bulimba is a brand new, low-rise management rights development in the, much desired, riverside suburb of Bulimba. This premium apartment complex, constructed by reputable developer DeLuca, consists of 79 contemporary apartments and beautiful communal pool facilities.|" 
                       "|no| 1 year ago.|3859644|2018-08-22
Indooroopilly|1953485|606500|0.31|292823|124950|4.6|25|25|0|119|1050|0|83|2022.57|0|0|3|3|1|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Indooroopilly-QLD-3853755|"The Best of the West? OTP Complex in Indooroopilly | Resort Brokers ID : OTP004668
              "|Westside Indooroopilly is destined to be one of the jewel in the Brisbane Management Rights market. Arguably the best complex in the area in recent times netting well over $300k.|" 
                       "|no| 1 year ago.|3853755|2018-08-22
Albany Creek|699000|0|0|169861|81400|4.1|25|25|0|74|1100|0|50|1769.22|0|0|0|0|0|1| | Resort Brokers|Brent Staker|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/AlbanyCreek-QLD-3860651|"Amazing Off The Plan Luxury Townhouse Complex - 23% ROI | Resort Brokers ID : MRB004849
              "|Resort Brokers Australia offers you Preston Point, located in Albany Creek. This large, 3 stage 'off the plan' townhouse complex consists of 2, 3 and 4 bedroom pavilion homes|" 
                       "|yes| 1 year ago.|3860651|2018-08-22
Oxley|740000|0|0|172494|66000|4.3|25|25|0|66|1000|0|48|2218.62|0|0|0|0|0|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Oxley-QLD-3860670|"Price Reduced, Projections Reviewed based on Market Feedback!  | Resort Brokers ID : MRB004850
              "|Pavilions on Parkvue is offered to the market exclusively by Resort Brokers Australia. The large, spacious and beautifully appointed 3 and 4 bedroom pavilion homes will surround a luxurious resort styled swimming pool and recreational area in the South West growth corridor of Brisbane.|" 
                       "|yes| 1 year ago.|3860670|2018-08-22
Toowong|2778296|0|0|578812|268800|4.8|25|25|0|221|0|0||0|0|0|0|0|0|0| No set hours| Resort Brokers|Tim Crooks|" Stunning rooftop activation with city skyline views, infinity edge swimming pool, outdoor entertainment area, rooftop cinema, ground floor retail spaces
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Toowong-QLD-3866580|"Toowong's Only OTP Management Rights Netting $578K | Resort Brokers ID : OTP004981
              "|A captivating proposition for an experienced operator to establish an elite management rights business in the distinguished suburb of Toowong.|" No requirement to live on-site. Apartments available to invest or occupy
                       "|yes| 10 months ago.|3866580|2018-08-22
Mango Hill|1263006|370000|0.29|190150|89415|4.7|25|23|0|81|1103.89|0|73|1379.93|0|7|3|2|0|0| No set office hours| Resort Brokers|Brent Staker|" pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/MangoHill-QLD-3872092|"Quality Business in Mango Hill with No Requirement to Live Onsite! | Resort Brokers ID : MR005120
              "|Resort Brokers Australia is proud to present to the market Mercury Grove and Mango Hill Pocket. On offer are two townhouse complexes separated by a 2 minutes drive. This opportunity is located in the booming suburb of Mango Hill. Built in 2016 these complexes consist of 81 dwellings one of which is a managers unit. Both complexes are fully tenanted with only 7 not in the rental pool going to outside agents. This prime location of Mango Hill is 30min North of Brisbane CBD.|" two large guest bedrooms both with built-ins and ceiling fans; main bathroom is large with shower; toilet and sink; master bedroom consists of walk-in wardrobe and large ensuite; open plan kitchen,dining and lounge room, large glass doors and windows
                       "|yes| 4 months ago.|3872092|2018-08-22
East Brisbane|1383717|0|0|318926|120650|4.3|25|25|0|127|950|0|102|1943.88|0|0|2|0|0|0| | Resort Brokers|Gareth Closter|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EastBrisbane-QLD-3836940|"Business Only Management Rights - 23% Return!  | Resort Brokers ID : OTP004377
              "|It was only a matter of time before the trendy suburb of East Brisbane saw the emergence of a building of this quality. The Welllington is a unique retail and living management rights (genuine business only), located in the heart of the suburb. Due for completion in October 2017, it presents a perfect opportunity for an experienced operator to add to their growing portfolio.|" 
                       "|no| 2 years ago.|3836940|2018-08-22
Bridgeman Downs|2060000|0|0|285713|0|7.2|25|25|0|113|0|0|72|3968.24|0|2|4|0|0|0| | Resort Brokers|Alex Cook|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BridgemanDowns-QLD-3872477|"The Perfect MR in Peaceful Bridgeman Downs | Resort Brokers ID : MR005136
              "|Great opportunity to purchase the management rights to this well-established villa / townhouse complex that genuinely ticks all the boxes agreements recently topped up to 23 years, easy to operate, ability to live off-site, spacious managers residence, scope for growth|" 
                       "|yes| 7 months ago.|3872477|2018-08-22
Victoria Point|1110000|135000|0.12|240000|307188|4.1|25|22|0|150|2047.92|73|72|-933.17|0|5|3|2|2|0| Tuesday: 9 am - 1 pm, Thursday: 4 pm - 6 pm, Friday: 9 am - 1 pm| Resort Brokers|Alex Cook|" 2 x pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/VictoriaPoint-QLD-3877135|"Permanent MR In Bayside - $240K Income For $1.1M Purchase Price | Resort Brokers ID : MR005255
              "|Great opportunity to maximise your earning potential by becoming the new working managers for a long-established and successful partnership, located in the sleepy Bayside suburb of Victoria Point.|" 3 bedrooms, 2 bathrooms townhouse with air-conditioning and ceiling fans, spacious lounge room and dining space, neat and tidy kitchen, powder room on guest level,
                       "|yes| 4 months ago.|3877135|2018-08-22
Hamilton|3400000|600000|0.18|536838|37863|5.2|25|22|0|32|1183.22|0|32|15592.97|0|0|0|0|0|0| No set office hours| Resort Brokers|Gareth Closter|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hamilton-QLD-3880774|"Near City Boutique Offering with $530K+ Nett Income | Resort Brokers ID : MRB005327
              "|The offering of the Management Rights to Link at Portside represents an outstanding opportunity to secure a business with a high net income towards $600k p.a with no requirement to reside onsite or own a unit within the agreements. Going concern Management Rights of this scale in Brisbane are extremely rare and we recommend your serious consideration of this high quality offering.|" This is a rare opportunity to purchase a business of this scale with NO residential real estate involved in the transaction. The opportunity is however complemented by a 47m2 office in addition to the 7m2 office on occupation authority. The owner of the business could sub divide this area and lease a portion out or could establish a property management business and offer management services to investors who have units in the area.
                       "|no| 2 months ago.|3880774|2018-08-22
Brisbane|2617058|0|0|415010|1100|6.3|25|24|0|157|7.01|23|104|3979.9|0|8|0|0|0|0| No set hours| Resort Brokers|Gareth Closter|" 12 level high rise, Courtyards and balconies, High quality finishes, Tranquil suburban street, Exclusive rooftop terrace with BBQ
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Brisbane-QLD-3879228|"City Fringe Location,  Business-Only Netting $407K | Resort Brokers ID : MRB005199
              "|Boasting an incredible inner-city location with access to a huge variety of amenity and city views. Recently established, this is an exciting chance to own a high income business without having to own real estate or live on-site.|" 
                       "|yes| 3 months ago.|3879228|2018-08-22
North Lakes|1068911|0|0|213782|105600|5|25|25|0|96|1100|0|48|2253.79|0|0|4|2|2|0| Contactable by phone Mon-Fri 9am-5pm| Resort Brokers|Brent Staker|" Gated entry
Internal park
BBQ area and pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/NorthLakes-QLD-3878608|"Brand New OTP Townhouse Estate - Business-Only! | Resort Brokers ID : OTP005198
              "|The last residential estate of its kind to be constructed in the heart of the North Lakes Town Centre. VIDA North Lakes hosts 96 contemporary 2, 3&4 bedroom townhouses planned within a gated estate and developed by renowned Stockland Group. This superb business-only management rights opportunity is situated just moments walk to the huge array of North Lakes amenity.  Big nett profits and a brand new 25 year agreement, with no requirement to live on-site, give this offering tremendous appeal for an experienced management team.|" Contemporary 2, 3 & 4 bedroom townhouses some with MPRs and double garages.
                       "|yes| 3 months ago.|3878608|2018-08-22
Bulimba|135000|0|0|32500|32500|4.2|25|10|0|26|0|0||0|0|0|0|0|0|0| N/A| Resort Brokers|Brent Staker|" Pool and mooring spaces
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3878706|"Caretaking-Only In Bulimbaâ Minutes' Walk to Oxford Street | Resort Brokers ID : MRC005276
              "|Fantastic and very rare opportunity to take on a small but solid business in the heart of Bulimba. Ideal for a new operator or existing manager seeking an easy add-on with just 26 apartments in the complex. This manageable sized business has great flexibility with no requirement to reside onsite and no real estate to purchase. Minimal workload with sufficient storage space for tools and equipment to be held on-site.|" 
                       "|yes| 3 months ago.|3878706|2018-08-22
Greenslopes|1487897|650000|0.44|174562|94126|4.8|25|19|0|65|1448.09|0|41|1961.85|0|0|3|3|2|1| None| Resort Brokers|Jessica  Wilkie|" Pool, Gazebo
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Greenslopes-QLD-3879522|"Low-Rise Complex in Greenslopes, Nett $174k&3 Bedroom Freestanding House  | Resort Brokers ID : MR005301
              "|Enjoy flexibility and lifestyle just 4 kms from Brisbane CBD. Option to reside in well-appointed freestanding 3 bedroom, 2.5 bathroom house with attached office.  No set office hours&option to live offsite. 19.5 year-long agreements have been recently topped up. Secure letting pool, option to grow income with a hands on manager.|" spacious open plan, 3 bedrooms, 2.5 bathroom, separate laundry, large rear courtyard
                       "|yes| 2 months ago.|3879522|2018-08-22
